trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,8,-44.537134953081335,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-28.198568881546045,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-15.707819793150657,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-153.55893221094854,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-132.1746030552782,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.8960524975255253}",30,0,-129.90662922048716,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,9,13.355278454025012,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-108.71054095642609,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8823328586101216}",30,0,-174.81889846351297,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
51,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-60.44427239544052,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-166.74257234180294,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,6,-51.33954385885487,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
54,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-175.7299536255922,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,11,-0.47646934355381876,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,15,12.051014930061715,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-77.13366380718654,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,7,-28.68090047835533,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-153.7164614169121,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,14,-13.265284885171678,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.8253356149096783}",30,0,-88.25489299285849,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-42.30697585833943,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,4,-61.017258503429176,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,8,-42.17776900371142,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-59.19869185065153,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,0,-93.83257128455966,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,2,-127.75463630403398,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 3}",1
68,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-81.41999844393251,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-85.22476912328074,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7712460149971065}",35,0,-90.45154789288542,"{0: 24, 1: 3, 2: 6, 3: 2, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-2.8833113946384836,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-65.80317260650813,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-113.25392571919035,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
74,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-86.60301490402797,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-102.02657815705405,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-48.08337640158317,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-206.59635484682263,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
78,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,0,-55.53641797470092,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-32.90321792701724,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.7038453156522362}",30,21,13.713680195758574,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.6967067093471655}",25,0,-46.28012697045448,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6894984329517471}",30,17,-32.393878521756434,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,0,-26.116746930429468,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,0,-53.00554504399741,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,6,9.411054557548978,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,0,-16.592230177309826,"{0: 23, 1: 5, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-227.94133940133005,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
88,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-57.1222147378848,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-91.31445928281855,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6294120265736969}",35,13,-31.086762466702545,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,0,-34.55502711634838,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,-29.287028063960328,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-2.012869761390368,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-98.84621310455631,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,0,-79.81812454555694,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5816830894638835}",35,14,-54.808064898656866,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-80.05064865930935,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-57.92332969771541,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,12,-24.728978770142483,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5486898605815876}",30,0,-88.16693232107963,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,-56.50496501068287,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,12,17.608302632472117,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5233659512516496}",30,24,9.211883217480027,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-39.30290147222264,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-59.62357924858342,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.497571047891727}",25,17,12.249413960760732,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48887208186052755}",30,18,7.836412730345826,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.48012422902853413}",25,0,-159.08907200315832,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
109,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,0,21.695175421175353,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,5,25.058708044078692,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,6,14.333784088897765,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,10,-18.593223132871575,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,3,-11.274609113297394,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,3,-18.849714670168765,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,13,25.167616757417647,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,-75.26275362136748,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
117,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,0,-23.75522733408843,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
118,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,6,-4.756568301401731,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3809248243668818}",25,8,-8.546648756907931,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
